Date,AVGO,AXON,BKNG,BSX,COST,DECK,FI,FICO,GDDY,GE,HWM,KKR,LII,META,NFLX,NRG,NVDA,PLTR,RCL,TDG,TRGP,VST,WMT
2023-02-03,57.65553283691408,198.19000244140616,2455.8418414454936,48.499999999999986,496.985382080078,69.05999755859376,106.59999847412108,681.3200073242188,83.30000305175778,64.66644287109374,39.55943679809572,56.093139648437486,268.98501586914057,167.89165044221173,356.8578236593877,32.50283050537111,21.082723617553707,8.409999847412113,67.88544464111331,651.8255004882814,70.18470764160158,22.027770996093746,45.97592544555666
2023-02-06,58.01055908203125,195.9499969482421,2470.726190753895,47.65999984741209,497.7479858398436,69.37000274658205,106.40000152587889,673.4500122070312,81.1399993896484,64.97415161132811,39.65867996215821,54.98403167724609,262.73974609374994,167.46861946112003,352.5470679659173,32.73883438110354,21.071731567382805,8.310000419616703,68.53016662597659,658.0833740234376,69.3433609008789,22.114418029785153,45.641757965087905
2023-02-07,59.2792091369629,188.58000183105463,2487.9715245440534,48.09000015258787,498.6554870605467,69.60166931152345,112.75557221047643,677.5300292968749,83.44999694824216,64.78480529785155,40.55189895629884,57.850036621093736,257.78668212890614,172.47304409211856,353.98074231723524,33.05036163330079,22.15484428405761,8.329999923706058,73.41030120849612,678.3187866210939,71.32241821289064,22.37435913085936,45.73908615112307
2023-02-08,58.05011367797852,184.99999999999994,2425.8425499701784,47.590000152587876,486.3756103515624,69.12833404541017,113.36199800162137,676.8499755859375,82.15000152587888,64.66644287109374,40.53204345703126,57.192432403564446,257.5223083496093,165.10138738038088,357.7648342301294,32.84267425537111,22.186817169189446,8.220000267028812,73.90625000000001,689.098815917969,71.86737060546875,22.0085163116455,45.492515563964865
2023-02-09,57.82822799682618,183.80999755859366,2436.885577773646,47.060001373291,483.30569458007795,70.13333129882812,113.94885757822891,677.739990234375,81.49999999999997,63.74332046508787,40.184345245361335,56.632968902587876,257.1210632324218,160.14197455941994,353.54185087285117,32.46506881713868,22.318708419799798,7.94999980926514,72.93418884277347,682.411560058594,71.11207580566406,21.844844818115224,45.91427993774416
2023-02-10,57.2339324951172,184.55000305175776,2349.108208882464,47.229999542236314,482.68780517578114,69.08833312988281,113.10768944890584,679.7299804687499,80.69999694824216,64.13780975341795,40.253890991210945,56.91760253906249,254.1941528320312,156.74867467286163,338.77597831822857,32.90875625610354,21.247591018676754,7.5100002288818395,71.05950927734378,667.3286743164065,73.37794494628906,22.18181419372557,46.62804412841799
2023-02-13,57.993194580078146,190.32000732421866,2423.791656099012,47.689998626708956,488.9242553710936,70.19999694824219,113.89994950420981,694.239990234375,81.2200012207031,65.23452758789061,40.81021118164065,58.00708389282226,260.15554809570307,161.50110492160823,349.70897670867885,33.56957626342774,21.770162582397454,7.610000133514409,73.39045715332034,676.5007934570314,73.27278900146484,22.191438674926754,47.33856201171877
2023-02-14,58.107997894287124,193.89999389648432,2471.826568024123,47.27999877929686,485.8060607910155,70.55500030517577,113.46958979460395,698.0599975585938,81.04000091552733,65.91307067871092,42.73746871948244,57.5163230895996,258.7850952148437,161.5460891339695,351.06461136332143,33.13532257080079,22.952192306518548,9.220000267028814,74.75928497314455,690.3594970703126,73.82730865478516,22.152929306030266,47.202293395996115
2023-02-15,58.627040863037124,198.99000549316398,2517.371373342205,47.29000091552734,493.5870971679686,69.24833679199219,115.16170169819442,698.9400024414062,80.51999664306639,66.88353729248044,43.12490844726564,57.810779571533196,260.4394226074218,159.45793855476597,352.4885530751225,33.82446289062501,22.74536514282226,10.109999656677251,75.13619995117189,701.7607421875002,73.13893127441408,22.56691551208495,47.552684783935575
2023-02-16,57.93724441528322,196.05000305175773,2493.963729328823,46.479999542236314,486.6556091308592,67.83499908447266,113.41089861331612,687.7999877929688,79.41999816894528,66.31545257568358,42.66793060302736,56.63478088378905,261.2127075195312,155.20955226587577,342.04319861691073,32.61288134718484,21.983985900878892,9.710000038146976,73.3011932373047,693.5511757519748,72.73738861083986,21.97000503540038,46.80648422241214
